읍면동,구분,노지온주,하우스감귤(조기출하),비가림(월동)감귤,만감류
대정읍,농가수,895,3,68,224
대정읍,면적,542.3,0.9,41.6,71.6
대정읍,생산량,"17,785",61,"1,414","1,985"
남원읍,농가수,"5,065",489,303,"1,142"
남원읍,면적,"3,957.10",153.5,354.2,548.8
남원읍,생산량,"136,950","11,959","12,089","16,409"
성산읍,농가수,"1,846",5,111,190
성산읍,면적,896.6,2,45.3,53.7
성산읍,생산량,"30,631",133,"1,404","1,272"
안덕면,농가수,"1,542",23,88,142
안덕면,면적,865.8,8,35.1,52.1
안덕면,생산량,"27,145",629,"1,104","1,014"
표선면,농가수,"1,060",152,168,479
표선면,면적,"1,023.40",62,108,182.9
표선면,생산량,"31,785","4,839","3,502","5,950"
송산동,농가수,341,40,6,86
송산동,면적,191.3,16,2,44.5
송산동,생산량,"9,306",783,82,"1,253"
천지동,농가수,48,,,6
천지동,면적,16.5,,,2.1
천지동,생산량,864,,,63
효돈동,농가수,802,35,26,176
효돈동,면적,345,12,18,53.2
효돈동,생산량,"14,599",630,139,"1,017"
영천동,농가수,937,6,36,295
영천동,면적,683.3,1.7,19.5,98.2
영천동,생산량,"24,667",247,387,"2,771"
동홍동,농가수,452,,4,50
동홍동,면적,180.1,,1.5,25.5
동홍동,생산량,"5,853",,150,455
서홍동,농가수,362,4,11,33
서홍동,면적,280.1,1.1,7.4,14
서홍동,생산량,"6,929",242,180,350
대륜동,농가수,540,3,1,85
대륜동,면적,469.7,1,2.2,33.7
대륜동,생산량,"12,377",,8,865
대천동,농가수,915,30,79,549
대천동,면적,659.5,13,58.8,158.5
대천동,생산량,"20,745",627,"1,836","4,836"
중문동,농가수,"1,513",19,22,178
중문동,면적,658,4.9,15,52.6
중문동,생산량,"21,695",288,431,"2,859"
예래동,농가수,598,14,6,110
예래동,면적,633,4.8,5,39.2
예래동,생산량,"19,838",478,70,"1,080"
