읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,113,655,10, - ,41,397,26
대정읍,면  적,99.2,521.7,9.9, - ,24.3,197.9,29.3
대정읍,생산량,"2,771.00","16,810.00",359, - ,"1,006.00","4,942.00",250
남원읍,농가수,385,"2,831.00",20,440,607,"1,958.00",97
남원읍,면  적,276.4,"2,279.20",26.3,200.3,384.1,873.2,119
남원읍,생산량,"7,287.00","72,321.00",934,"16,179.00","15,139.00","20,060.00",398
성산읍,농가수,105,"1,045.00",15,28,28,270,111
성산읍,면  적,65.8,825.1,15.4,10.3,17.5,100.1,36.8
성산읍,생산량,"1,818.00","26,435.00",552,715,739,"2,525.00",301
안덕면,농가수,189,873,9,23,52,274,17.9
안덕면,면  적,155.2,702.7,8.7,9.1,34.7,117.8,51.7
안덕면,생산량,"4,492.00","22,554.00",352,462,"1,415.00","2,962.00",403
표선면,농가수,135,"1,101.00",17,97,121,789,43
표선면,면  적,115,873.8,16.9,36,89,349.4,37.7
표선면,생산량,"3,230.00","27,983.00",604,"1,760.00","3,546.00","8,684.00",305
송산동,농가수,29,135,3,38,21,132,10
송산동,면  적,23,90.8,1.2,11.4,13,58.4,6.8
송산동,생산량,659,"2,881.00",42,750,510,"1,443.00",46
천지동,농가수,1,2, - , - ,3,10,2
천지동,면  적,0.2,1.3, - , - ,1.3,1.8,0.6
천지동,생산량,4,41, - , - ,51,44,4
효돈동,농가수,152,215,1,24,29,172,11.7
효돈동,면  적,90.3,173.8,0.5,6.6,20.4,78.7,5.6
효돈동,생산량,"2,580.00","5,514.00",17,510,801,"1,944.00",38
영천동,농가수,116,690,3,15,12,339,35
영천동,면  적,77.3,488.8,1.7,4.5,8.9,117.6,21.8
영천동,생산량,"2,207.00","15,519.00",59,267,349,"2,905.00",148
동홍동,농가수,26,155,1,4,2,65,10.5
동홍동,면  적,15,127.3,0.2,1.2,1.4,28.9,2.4
동홍동,생산량,429,"4,039.00",7,41,55,714,16
서홍동,농가수,56,310, - ,4,8,116,19
서홍동,면  적,30.9,223, - ,1.2,5,40.4,6.4
서홍동,생산량,887,"7,076.00", - ,75,196,998,43
대륜동,농가수,55,514.9,2,8,10,151,25
대륜동,면  적,43.6,376,1.3,3,6,74.5,17.3
대륜동,생산량,961,"11,930.00",45,233,235,"1,840.00",117
대천동,농가수,105,605.3,10,25,20,608,11
대천동,면  적,85.8,443.1,5.8,8.8,11.4,235.7,17.9
대천동,생산량,"1,892.00","14,056.00",203,224,447,"5,824.00",121
중문동,농가수,121.1,765,7,13,12,220,13.9
중문동,면  적,104.6,516,4.1,3.6,8,97.5,13.3
중문동,생산량,"2,419.00","16,372.00",143,211,314,"2,409.00",90
예래동,농가수,225,532,4,17,18,131,16
예래동,면  적,194.1,348.4,2.4,5.6,11.9,67,18.2
예래동,생산량,"4,476.00","11,055.00",84,430,467,"1,655.00",123
