읍면동별,노지 면적(ha),노지 농가,노지 생산량,하우스온주 면적,하우스온주 농가,하우스 생산량,무가온월동 면적,무가온월동 농가,무가온월동 생산량,만감류  전체 면적,만감류 전체 농가 ,만감류 전체 생산량,만감류 시설 면적,만감류 시설 농가,만감류 시설 생산량,만감류 노지 면적,만감류 노지 농가,만감류 노지 생산량
대정읍,568,917,"16,944",0.9,3,61,31.7,59,"1,106",70.4,216,"1,828",67.2,201,"1,798",3.2,15,30
남원읍,4045.9,"5,112","125,642",159.6,518,"11,446",313.4,253,"11,187",503.7,"1,120","14,628",492.7,"1,095","14,434",11,25,194
성산읍,924.3,"1,878","27,519",2,5,133,36.1,93,"1,258",52.5,186,"1,251",41.1,133,"1,211",11.4,53,40
안덕면,892.3,"1,555","25,642",8.2,25,542,30.5,84,"1,065",51.1,138,991,36.5,106,806,14.6,32,185
표선면,1031.6,"1,062","30,147",74.2,182,"5,001",103,168,"3,563",217.9,574,"6,798",212.6,552,"6,707",5.3,22,91
송  산,193,345,"5,566",16,42,"1,095",2,5,72,47.7,84,"1,531",47.7,84,"1,531",0, - ,
천  지,17,51,493,0, - , - ,0, - , - ,2.1,6,66,2.1,6,66,0, - ,
효  돈,350.1,806,"10,029",12,37,807,16,42,554,52.2,174,"1,564",52.2,174,"1,564",,,
영  천,722.8,944,"20,754",1.7,6,110,17.7,64,616,89,253,"2,724",83.4,227,"2,649",5.6,26,75
동  홍,182.1,454,"5,183",0.16,1,10,1.1,4,17,24.5,52,719,24.5,52,719,0, - ,
서  홍,283.1,363,"8,199",1.1,4,73,6.2,11,170,13.4,32,408,12.9,31,401,0.5,1,7
대  륜,475.7,542,"13,783",0.9,3,59,0.2,1,7,31.7,85,"1,024",31.7,85,"1,024",,,
대  천,681,918,"19,654",13.2,32,849,56.8,83,"1,886",150,528,"4,977",149.5,524,"4,970",0.5,4,7
중  문,665,"1,519","19,292",4.9,21,328,13.5,22,403,47.8,164,"1,444",45,150,"1,408",2.8,14,36
예  래,643,601,"18,596",4.8,15,320,3,6,96,37.2,110,"1,229",36.8,109,"1,224",0.4,1,5
