읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지)
대정읍,농가수,103,642,10,8,45,405,24
대정읍,면  적,96,517,9,3,32,206,27
대정읍,생산량,"2,926","17,664",340,157,"1,556","4,155",125
남원읍,농가수,392,"2,820",20,446,562,"1,888",102
남원읍,면  적,272,"2,268",25,192,358,860,110
남원읍,생산량,"9,163","98,652","1,139","18,371","10,788","21,311",433
성산읍,농가수,98,"1,038",15,33,26,277,98
성산읍,면  적,58,818,15,13,18,104,32
성산읍,생산량,"1,588","32,213",492,854,620,"2,455",210
안덕면,농가수,175,866,9,26,57,280,19
안덕면,면  적,153,709,9,11,36,121,52
안덕면,생산량,"4,139","28,661",340,620,"1,167","2,862",273
표선면,농가수,118,"1,048",17,103,124,805,41
표선면,면  적,106,897,17,39,88,363,38
표선면,생산량,"3,120","35,226",505,"2,052","2,968","8,233",269
송산동,농가수,36,140,3,33,20,133,13
송산동,면  적,28,90,1,10,12,59,7
송산동,생산량,695,"3,457",38,620,350,"1,848",60
천지동,농가수,2,6,-,1,3,12,5
천지동,면  적,1,4,-,0,1,2,1
천지동,생산량,10,76,-,9,40,59,16
효돈동 , 농가수 ,157,226,1,26,29,191,14
효돈동 , 면  적 ,93,181,1,8,18,92,12
효돈동 , 생산량 ,"1,678","5,624",13,834,595,"1,886",88
영천동,농가수,130,670,3,19,13,354,31
영천동,면  적,82,476,2,6,9,124,20
영천동,생산량,"2,331","18,655",46,340,392,"3,375",87
동홍동,농가수,24,147,1,6,2,83,12
동홍동,면  적,14,120,0,2,1,35,5
동홍동,생산량,508,"4,667",5,74,60,790,52
서홍동,농가수,52,331,-,6,10,112,20
서홍동,면  적,30,225,-,2,5,37,9
서홍동,생산량,966,"6,825",-,147,124,"1,024",66
대륜동,농가수,43,520,2,8,13,140,22
대륜동,면  적,40,380,1,3,7,63,14
대륜동,생산량,556,"11,462",40,205,210,"1,694",85
대천동,농가수,120,598,10,41,38,632,16
대천동,면  적,98,431,6,13,28,241,20
대천동,생산량,"2,119","18,005",195,852,984,"5,924",127
중문동,농가수,142,750,7,20,17,236,16
중문동,면  적,109,488,3,8,11,98,17
중문동,생산량,"2,775","14,858",135,560,304,"3,465",176
예래동,농가수,205,540,4,22,20,135,18
예래동,면  적,188,352,2,10,10,71,22
예래동,생산량,"4,688","11,837",80,631,381,"1,681",117
